"condition_name","omop_cui","vocabulary_cui","vocabulary_name"
"Unspecified B-cell lymphoma, intrathoracic lymph nodes",45561864,C85.12,ICD10CM
"Mediastinal (thymic) large B-cell lymphoma, extranodal and solid organ sites",45561865,C85.29,ICD10CM
"Other specified types of non-Hodgkin lymphoma, unspecified site",45561866,C85.80,ICD10CM
"Non-Hodgkin lymphoma, unspecified, lymph nodes of axilla and upper limb",45561868,C85.94,ICD10CM
Chronic lymphocytic leukemia of B-cell type in remission,45561871,C91.11,ICD10CM
"Hairy cell leukemia, in relapse",45561872,C91.42,ICD10CM
Adult T-cell lymphoma/leukemia (HTLV-1-associated) not having achieved remission,45561873,C91.50,ICD10CM
"Atypical chronic myeloid leukemia, BCR/ABL-negative, not having achieved remission",45561875,C92.20,ICD10CM
"Acute myelomonocytic leukemia, in relapse",45561876,C92.52,ICD10CM
Acute myeloid leukemia with 11q23-abnormality not having achieved remission,45561877,C92.60,ICD10CM
"Myeloid leukemia, unspecified, not having achieved remission",45561879,C92.90,ICD10CM
"Monocytic leukemia, unspecified in remission",45561881,C93.91,ICD10CM
Merkel cell carcinoma of scalp and neck,45556990,C4A.4,ICD10CM
Merkel cell carcinoma of anal skin,45556991,C4A.51,ICD10CM
"Merkel cell carcinoma of right lower limb, including hip",45556992,C4A.71,ICD10CM
Merkel cell carcinoma of overlapping sites,45556993,C4A.8,ICD10CM
Malignant neoplasm of central portion of unspecified female breast,45556994,C50.119,ICD10CM
Malignant neoplasm of axillary tail of unspecified female breast,45556995,C50.619,ICD10CM
Malignant neoplasm of unspecified site of left female breast,45556996,C50.912,ICD10CM
Malignant neoplasm of undescended left testis,45557001,C62.02,ICD10CM
Malignant neoplasm of unspecified descended testis,45557002,C62.10,ICD10CM
"Malignant neoplasm of right testis, unspecified whether descended or undescended",45557003,C62.91,ICD10CM
Malignant neoplasm of left optic nerve,45557009,C72.32,ICD10CM
Malignant neoplasm of left acoustic nerve,45557010,C72.42,ICD10CM
Malignant neoplasm of unspecified upper limb,45557011,C76.40,ICD10CM
Malignant neoplasm of unspecified cranial nerve,45566614,C72.50,ICD10CM
Malignant neoplasm of medulla of right adrenal gland,45566615,C74.11,ICD10CM
Malignant neoplasm of unspecified part of left adrenal gland,45566616,C74.92,ICD10CM
"Malignant carcinoid tumor of the large intestine, unspecified portion",45566618,C7A.029,ICD10CM
Secondary Merkel cell carcinoma,45566619,C7B.1,ICD10CM
"Nodular lymphocyte predominant Hodgkin lymphoma, lymph nodes of axilla and upper limb",45566621,C81.04,ICD10CM
"Mixed cellularity Hodgkin lymphoma, lymph nodes of multiple sites",45566623,C81.28,ICD10CM
"Lymphocyte depleted Hodgkin lymphoma, lymph nodes of head, face, and neck",45566624,C81.31,ICD10CM
"Lymphocyte-rich Hodgkin lymphoma, intrathoracic lymph nodes",45566625,C81.42,ICD10CM
"Lymphocyte-rich Hodgkin lymphoma, intra-abdominal lymph nodes",45566626,C81.43,ICD10CM
"Other Hodgkin lymphoma, lymph nodes of axilla and upper limb",45566627,C81.74,ICD10CM
"Hodgkin lymphoma, unspecified, lymph nodes of axilla and upper limb",45566628,C81.94,ICD10CM
"Follicular lymphoma grade I, lymph nodes of axilla and upper limb",45566629,C82.04,ICD10CM
"Follicular lymphoma grade III, unspecified, intra-abdominal lymph nodes",45566630,C82.23,ICD10CM
"Follicular lymphoma grade IIIb, intrapelvic lymph nodes",45566631,C82.46,ICD10CM
"Cutaneous follicle center lymphoma, lymph nodes of axilla and upper limb",45566632,C82.64,ICD10CM
"Follicular lymphoma, unspecified, lymph nodes of inguinal region and lower limb",45566633,C82.95,ICD10CM
"Small cell B-cell lymphoma, spleen",45566634,C83.07,ICD10CM
"Burkitt lymphoma, unspecified site",45566635,C83.70,ICD10CM
"Other non-follicular lymphoma, lymph nodes of multiple sites",45566636,C83.88,ICD10CM
"Non-follicular (diffuse) lymphoma, unspecified, lymph nodes of head, face, and neck",45566637,C83.91,ICD10CM
"Peripheral T-cell lymphoma, not classified, lymph nodes of inguinal region and lower limb",45566638,C84.45,ICD10CM
"Cutaneous T-cell lymphoma, unspecified, intra-abdominal lymph nodes",45566639,C84.A3,ICD10CM
"Other mature T/NK-cell lymphomas, intrapelvic lymph nodes",45566640,C84.Z6,ICD10CM
"Mediastinal (thymic) large B-cell lymphoma, lymph nodes of axilla and upper limb",45566641,C85.24,ICD10CM
"Other specified types of non-Hodgkin lymphoma, intrathoracic lymph nodes",45566642,C85.82,ICD10CM
"Other specified types of non-Hodgkin lymphoma, intra-abdominal lymph nodes",45566643,C85.83,ICD10CM
"Other specified types of non-Hodgkin lymphoma, lymph nodes of axilla and upper limb",45566644,C85.84,ICD10CM
"Other specified types of non-Hodgkin lymphoma, extranodal and solid organ sites",45566645,C85.89,ICD10CM
"Acute lymphoblastic leukemia, in relapse",45566647,C91.02,ICD10CM
Mature B-cell leukemia Burkitt-type,45566648,C91.A,ICD10CM
"Chronic myelomonocytic leukemia, in remission",45566649,C93.11,ICD10CM
"Acute erythroid leukemia, in relapse",45566650,C94.02,ICD10CM
"Other specified leukemias, in remission",45566651,C94.81,ICD10CM
Secondary malignant neoplasm of other respiratory organs,45557015,C78.39,ICD10CM
Secondary malignant neoplasm of brain,45557016,C79.31,ICD10CM
Malignant neoplasm associated with transplanted organ,45557018,C80.2,ICD10CM
"Nodular lymphocyte predominant Hodgkin lymphoma, lymph nodes of head, face, and neck",45557019,C81.01,ICD10CM
"Lymphocyte-rich Hodgkin lymphoma, unspecified site",45557020,C81.40,ICD10CM
"Lymphocyte-rich Hodgkin lymphoma, lymph nodes of head, face, and neck",45557021,C81.41,ICD10CM
"Hodgkin lymphoma, unspecified, intrapelvic lymph nodes",45557022,C81.96,ICD10CM
"Follicular lymphoma grade I, unspecified site",45557023,C82.00,ICD10CM
"Follicular lymphoma grade I, lymph nodes of inguinal region and lower limb",45557024,C82.05,ICD10CM
"Follicular lymphoma grade II, intrathoracic lymph nodes",45557025,C82.12,ICD10CM
"Follicular lymphoma grade IIIa, extranodal and solid organ sites",45557026,C82.39,ICD10CM
"Diffuse large B-cell lymphoma, extranodal and solid organ sites",45557027,C83.39,ICD10CM
"Lymphoblastic (diffuse) lymphoma, lymph nodes of head, face, and neck",45557028,C83.51,ICD10CM
"Lymphoblastic (diffuse) lymphoma, spleen",45557029,C83.57,ICD10CM
"Other non-follicular lymphoma, lymph nodes of inguinal region and lower limb",45557030,C83.85,ICD10CM
"Other non-follicular lymphoma, intrapelvic lymph nodes",45557031,C83.86,ICD10CM
"Sezary disease, intrathoracic lymph nodes",45557032,C84.12,ICD10CM
"Sezary disease, extranodal and solid organ sites",45557033,C84.19,ICD10CM
"Anaplastic large cell lymphoma, ALK-positive, unspecified site",45557034,C84.60,ICD10CM
"Other specified types of non-Hodgkin lymphoma, lymph nodes of head, face, and neck",45557035,C85.81,ICD10CM
"Non-Hodgkin lymphoma, unspecified, lymph nodes of head, face, and neck",45557036,C85.91,ICD10CM
Plasma cell leukemia not having achieved remission,45557038,C90.10,ICD10CM
Acute lymphoblastic leukemia not having achieved remission,45557039,C91.00,ICD10CM
"Acute lymphoblastic leukemia, in remission",45557040,C91.01,ICD10CM
"Acute myelomonocytic leukemia, not having achieved remission",45557043,C92.50,ICD10CM
"Acute myeloid leukemia with multilineage dysplasia, not having achieved remission",45557045,C92.A0,ICD10CM
Chronic myelomonocytic leukemia not having achieved remission,45557046,C93.10,ICD10CM
"Juvenile myelomonocytic leukemia, in relapse",45557047,C93.32,ICD10CM
"Mycosis fungoides, intrathoracic lymph nodes",45590949,C84.02,ICD10CM
"Cutaneous T-cell lymphoma, unspecified, unspecified site",45590951,C84.A0,ICD10CM
"Other mature T/NK-cell lymphomas, unspecified site",45590952,C84.Z0,ICD10CM
"Other mature T/NK-cell lymphomas, lymph nodes of axilla and upper limb",45590953,C84.Z4,ICD10CM
"Unspecified B-cell lymphoma, unspecified site",45590954,C85.10,ICD10CM
"Unspecified B-cell lymphoma, intra-abdominal lymph nodes",45590955,C85.13,ICD10CM
"Mediastinal (thymic) large B-cell lymphoma, unspecified site",45590956,C85.20,ICD10CM
"Mediastinal (thymic) large B-cell lymphoma, intra-abdominal lymph nodes",45590957,C85.23,ICD10CM
"Mediastinal (thymic) large B-cell lymphoma, lymph nodes of inguinal region and lower limb",45590958,C85.25,ICD10CM
"Non-Hodgkin lymphoma, unspecified, unspecified site",45590959,C85.90,ICD10CM
"Non-Hodgkin lymphoma, unspecified, extranodal and solid organ sites",45590960,C85.99,ICD10CM
Solitary plasmacytoma in remission,45590963,C90.31,ICD10CM
Hairy cell leukemia not having achieved remission,45590964,C91.40,ICD10CM
Mature B-cell leukemia Burkitt-type not having achieved remission,45590965,C91.A0,ICD10CM
"Acute erythroid leukemia, not having achieved remission",45590966,C94.00,ICD10CM
"Acute leukemia of unspecified cell type, in remission",45590967,C95.01,ICD10CM
"Leukemia, unspecified not having achieved remission",45590968,C95.90,ICD10CM
Basal cell carcinoma of skin of right ear and external auricular canal,45595653,C44.212,ICD10CM
Unspecified malignant neoplasm of skin of nose,45595654,C44.301,ICD10CM
Basal cell carcinoma of anal skin,45595655,C44.510,ICD10CM
Other specified malignant neoplasm of skin of trunk,45595656,C44.59,ICD10CM
"Unspecified malignant neoplasm of skin of right upper limb, including shoulder",45595657,C44.602,ICD10CM
Kaposi's sarcoma of left lung,45595659,C46.52,ICD10CM
"Malignant neoplasm of peripheral nerves of right upper limb, including shoulder",45595661,C47.11,ICD10CM
"Malignant neoplasm of connective and soft tissue of right lower limb, including hip",45595663,C49.21,ICD10CM
Merkel cell carcinoma,45595664,C4A,ICD10CM
"Merkel cell carcinoma, unspecified",45595665,C4A.9,ICD10CM
"Malignant neoplasm of nipple and areola, unspecified female breast",45595666,C50.019,ICD10CM
Malignant neoplasm of upper-inner quadrant of left male breast,45595667,C50.222,ICD10CM
Malignant neoplasm of overlapping sites of right male breast,45595668,C50.821,ICD10CM
Malignant neoplasm of left fallopian tube,45595672,C57.02,ICD10CM
Malignant neoplasm of unspecified broad ligament,45595673,C57.10,ICD10CM
Malignant neoplasm of unspecified conjunctiva,45595677,C69.00,ICD10CM
Malignant neoplasm of unspecified cornea,45595678,C69.10,ICD10CM
Malignant neoplasm of left retina,45595679,C69.22,ICD10CM
Malignant neoplasm of unspecified ciliary body,45595680,C69.40,ICD10CM
Malignant neoplasm of unspecified site of left eye,45595681,C69.92,ICD10CM
Malignant neoplasm of unspecified olfactory nerve,45595684,C72.20,ICD10CM
Secondary malignant neoplasm of unspecified urinary organs,45595689,C79.10,ICD10CM
Malignant carcinoid tumor of the sigmoid colon,45595690,C7A.025,ICD10CM
Malignant carcinoid tumor of the thymus,45595691,C7A.091,ICD10CM
"Malignant carcinoid tumor of the midgut, unspecified",45595692,C7A.095,ICD10CM
Malignant carcinoid tumors of other sites,45595693,C7A.098,ICD10CM
"Nodular lymphocyte predominant Hodgkin lymphoma, lymph nodes of multiple sites",45595694,C81.08,ICD10CM
"Lymphocyte depleted Hodgkin lymphoma, lymph nodes of inguinal region and lower limb",45595695,C81.35,ICD10CM
"Lymphocyte-rich Hodgkin lymphoma, intrapelvic lymph nodes",45595696,C81.46,ICD10CM
"Other Hodgkin lymphoma, intrapelvic lymph nodes",45595697,C81.76,ICD10CM
"Follicular lymphoma grade II, spleen",45595699,C82.17,ICD10CM
"Follicular lymphoma grade III, unspecified, lymph nodes of head, face, and neck",45595700,C82.21,ICD10CM
"Follicular lymphoma grade III, unspecified, lymph nodes of axilla and upper limb",45595701,C82.24,ICD10CM
"Follicular lymphoma grade IIIa, lymph nodes of inguinal region and lower limb",45595702,C82.35,ICD10CM
"Other types of follicular lymphoma, lymph nodes of head, face, and neck",45595703,C82.81,ICD10CM
"Mantle cell lymphoma, lymph nodes of multiple sites",45595704,C83.18,ICD10CM
"Diffuse large B-cell lymphoma, intrathoracic lymph nodes",45595705,C83.32,ICD10CM
"Lymphoblastic (diffuse) lymphoma, lymph nodes of inguinal region and lower limb",45595706,C83.55,ICD10CM
"Lymphoblastic (diffuse) lymphoma, lymph nodes of multiple sites",45595707,C83.58,ICD10CM
"Anaplastic large cell lymphoma, ALK-positive, intrathoracic lymph nodes",45595709,C84.62,ICD10CM
"Anaplastic large cell lymphoma, ALK-negative, lymph nodes of multiple sites",45595710,C84.78,ICD10CM
"Other mature T/NK-cell lymphomas, lymph nodes of inguinal region and lower limb",45595712,C84.Z5,ICD10CM
"Unspecified B-cell lymphoma, lymph nodes of inguinal region and lower limb",45595713,C85.15,ICD10CM
"Malignant neoplasm of liver, primary, unspecified as to type",45585987,C22.8,ICD10CM
Malignant melanoma of anal skin,45585992,C43.51,ICD10CM
Malignant melanoma of skin of breast,45585993,C43.52,ICD10CM
"Unspecified malignant neoplasm of skin of unspecified eyelid, including canthus",45585994,C44.101,ICD10CM
Basal cell carcinoma of skin of ear and external auricular canal,45585997,C44.21,ICD10CM
Basal cell carcinoma of skin of unspecified ear and external auricular canal,45585998,C44.211,ICD10CM
Basal cell carcinoma of skin of scalp and neck,45586000,C44.41,ICD10CM
Unspecified malignant neoplasm of skin of breast,45586001,C44.501,ICD10CM
Squamous cell carcinoma of anal skin,45586002,C44.520,ICD10CM
"Unspecified malignant neoplasm of skin of upper limb, including shoulder",45586003,C44.60,ICD10CM
"Basal cell carcinoma of skin of left upper limb, including shoulder",45586004,C44.619,ICD10CM
"Unspecified malignant neoplasm of skin of unspecified lower limb, including hip",45586005,C44.701,ICD10CM
"Unspecified malignant neoplasm of skin of right lower limb, including hip",45586006,C44.702,ICD10CM
Merkel cell carcinoma of unspecified part of face,45586009,C4A.30,ICD10CM
Malignant neoplasm of central portion of left male breast,45586010,C50.122,ICD10CM
Malignant neoplasm of upper-inner quadrant of unspecified female breast,45586011,C50.219,ICD10CM
Malignant neoplasm of lower-inner quadrant of left male breast,45586012,C50.322,ICD10CM
Malignant neoplasm of axillary tail of right female breast,45586013,C50.611,ICD10CM
Malignant neoplasm of right main bronchus,45590884,C34.01,ICD10CM
Malignant neoplasm of unspecified part of unspecified bronchus or lung,45590885,C34.90,ICD10CM
Malignant neoplasm of unspecified bones and articular cartilage of left limb,45590886,C40.92,ICD10CM
"Malignant melanoma of unspecified upper limb, including shoulder",45590888,C43.60,ICD10CM
"Malignant melanoma of right upper limb, including shoulder",45590889,C43.61,ICD10CM
"Malignant melanoma of unspecified lower limb, including hip",45590890,C43.70,ICD10CM
Basal cell carcinoma of skin of left ear and external auricular canal,45590892,C44.219,ICD10CM
Squamous cell carcinoma of skin of unspecified ear and external auricular canal,45590893,C44.221,ICD10CM
Squamous cell carcinoma of skin of right ear and external auricular canal,45590894,C44.222,ICD10CM
Unspecified malignant neoplasm of skin of unspecified part of face,45590895,C44.300,ICD10CM
Basal cell carcinoma of skin of unspecified parts of face,45590896,C44.310,ICD10CM
Basal cell carcinoma of skin of other parts of face,45590897,C44.319,ICD10CM
Squamous cell carcinoma of skin of unspecified parts of face,45590898,C44.320,ICD10CM
"Basal cell carcinoma of skin of unspecified upper limb, including shoulder",45590899,C44.611,ICD10CM
"Unspecified malignant neoplasm of skin of lower limb, including hip",45590900,C44.70,ICD10CM
"Basal cell carcinoma of skin of unspecified lower limb, including hip",45590901,C44.711,ICD10CM
"Squamous cell carcinoma of skin, unspecified",45590903,C44.92,ICD10CM
"Malignant neoplasm of connective and soft tissue of right upper limb, including shoulder",45590904,C49.11,ICD10CM
Merkel cell carcinoma of lip,45590905,C4A.0,ICD10CM
"Merkel cell carcinoma of unspecified eyelid, including canthus",45590906,C4A.10,ICD10CM
Malignant neoplasm of lower-inner quadrant of unspecified male breast,45590907,C50.329,ICD10CM
Malignant neoplasm of upper-outer quadrant of unspecified male breast,45590908,C50.429,ICD10CM
Malignant neoplasm of lower-outer quadrant of right female breast,45590909,C50.511,ICD10CM
Malignant neoplasm of unspecified site of unspecified male breast,45590910,C50.929,ICD10CM
Malignant neoplasm of left broad ligament,45590911,C57.12,ICD10CM
Malignant neoplasm of descended right testis,45590913,C62.11,ICD10CM
Malignant neoplasm of unspecified site of right female breast,45586014,C50.911,ICD10CM
Malignant neoplasm of unspecified fallopian tube,45586017,C57.00,ICD10CM
Malignant neoplasm of undescended right testis,45586018,C62.01,ICD10CM
"Malignant neoplasm of left kidney, except renal pelvis",45586019,C64.2,ICD10CM
Malignant neoplasm of left choroid,45586021,C69.32,ICD10CM
Malignant neoplasm of unspecified optic nerve,45586022,C72.30,ICD10CM
Malignant neoplasm of right acoustic nerve,45586023,C72.41,ICD10CM
Malignant neoplasm of cortex of right adrenal gland,45586026,C74.01,ICD10CM
Secondary malignant neoplasm of unspecified lung,45586027,C78.00,ICD10CM
